,precision,recall,f1-score,support,modelo,cenario,acc_train,acc_test
0,0.9822695035460993,0.9946140035906643,0.9884032114183765,557.0,RandomForest,VF,1.0,0.9883928571428572
1,0.9946043165467626,0.9822380106571936,0.9883824843610366,563.0,RandomForest,VF,1.0,0.9883928571428572
accuracy,0.9883928571428572,0.9883928571428572,0.9883928571428572,0.9883928571428572,RandomForest,VF,1.0,0.9883928571428572
macro avg,0.988436910046431,0.988426007123929,0.9883928478897066,1120.0,RandomForest,VF,1.0,0.9883928571428572
weighted avg,0.9884699497241113,0.9883928571428572,0.9883927923708029,1120.0,RandomForest,VF,1.0,0.9883928571428572
0,0.9348591549295775,0.9533213644524237,0.944,557.0,NaiveBayes,VF,0.953125,0.94375
1,0.9528985507246377,0.9342806394316163,0.9434977578475336,563.0,NaiveBayes,VF,0.953125,0.94375
accuracy,0.94375,0.94375,0.94375,0.94375,NaiveBayes,VF,0.953125,0.94375
macro avg,0.9438788528271076,0.94380100194202,0.9437488789237668,1120.0,NaiveBayes,VF,0.953125,0.94375
weighted avg,0.943927172637273,0.94375,0.943747533632287,1120.0,NaiveBayes,VF,0.953125,0.94375
0,0.9733570159857904,0.9838420107719928,0.9785714285714285,557.0,LogisticRegression,VF,0.9935267857142858,0.9785714285714285
1,0.9838420107719928,0.9733570159857904,0.9785714285714285,563.0,LogisticRegression,VF,0.9935267857142858,0.9785714285714285
accuracy,0.9785714285714285,0.9785714285714285,0.9785714285714285,0.9785714285714285,LogisticRegression,VF,0.9935267857142858,0.9785714285714285
macro avg,0.9785995133788916,0.9785995133788916,0.9785714285714285,1120.0,LogisticRegression,VF,0.9935267857142858,0.9785714285714285
weighted avg,0.9786275981863546,0.9785714285714285,0.9785714285714285,1120.0,LogisticRegression,VF,0.9935267857142858,0.9785714285714285
0,0.9875444839857651,0.9964093357271095,0.9919571045576407,557.0,SVM,VF,0.9982142857142857,0.9919642857142857
1,0.996415770609319,0.9875666074600356,0.991971454058876,563.0,SVM,VF,0.9982142857142857,0.9919642857142857
accuracy,0.9919642857142857,0.9919642857142857,0.9919642857142857,0.9919642857142857,SVM,VF,0.9982142857142857,0.9919642857142857
macro avg,0.991980127297542,0.9919879715935725,0.9919642793082584,1120.0,SVM,VF,0.9982142857142857,0.9919642857142857
weighted avg,0.9920038896724265,0.9919642857142857,0.9919643177444223,1120.0,SVM,VF,0.9982142857142857,0.9919642857142857
0,0.9875222816399287,0.9946140035906643,0.9910554561717353,557.0,MLP,VF,1.0,0.9910714285714286
1,0.9946332737030411,0.9875666074600356,0.9910873440285205,563.0,MLP,VF,1.0,0.9910714285714286
accuracy,0.9910714285714286,0.9910714285714286,0.9910714285714286,0.9910714285714286,MLP,VF,1.0,0.9910714285714286
macro avg,0.991077777671485,0.9910903055253499,0.991071400100128,1120.0,MLP,VF,1.0,0.9910714285714286
weighted avg,0.9910968249716541,0.9910714285714286,0.99107148551403,1120.0,MLP,VF,1.0,0.9910714285714286
1,0.9929577464788732,0.9791666666666666,0.986013986013986,576.0,RandomForest,1_5,1.0,0.98
2,0.9625,0.9908088235294118,0.9764492753623188,544.0,RandomForest,1_5,1.0,0.98
3,0.9718574108818011,0.9682242990654205,0.9700374531835206,535.0,RandomForest,1_5,1.0,0.98
4,0.9864636209813875,0.9898132427843803,0.988135593220339,589.0,RandomForest,1_5,1.0,0.98
5,0.9854014598540146,0.9712230215827338,0.9782608695652174,556.0,RandomForest,1_5,1.0,0.98
accuracy,0.98,0.98,0.98,0.98,RandomForest,1_5,1.0,0.98
macro avg,0.9798360476392153,0.9798472107257226,0.9797794354690763,2800.0,RandomForest,1_5,1.0,0.98
weighted avg,0.9801420218680229,0.98,0.9800097882426363,2800.0,RandomForest,1_5,1.0,0.98
1,0.8851674641148325,0.9635416666666666,0.9226932668329177,576.0,NaiveBayes,1_5,0.8739285714285714,0.8735714285714286
2,0.9234135667396062,0.7757352941176471,0.8431568431568431,544.0,NaiveBayes,1_5,0.8739285714285714,0.8735714285714286
3,0.7914529914529914,0.8654205607476636,0.8267857142857142,535.0,NaiveBayes,1_5,0.8739285714285714,0.8735714285714286
4,0.9306260575296108,0.933786078098472,0.9322033898305084,589.0,NaiveBayes,1_5,0.8739285714285714,0.8735714285714286
5,0.8444444444444444,0.8201438848920863,0.8321167883211679,556.0,NaiveBayes,1_5,0.8739285714285714,0.8735714285714286
accuracy,0.8735714285714286,0.8735714285714286,0.8735714285714286,0.8735714285714286,NaiveBayes,1_5,0.8739285714285714,0.8735714285714286
macro avg,0.875020904856297,0.8717254969045072,0.8713912004854303,2800.0,NaiveBayes,1_5,0.8739285714285714,0.8735714285714286
weighted avg,0.8761680889499613,0.8735714285714286,0.8729299044402427,2800.0,NaiveBayes,1_5,0.8739285714285714,0.8735714285714286
1,0.9690721649484536,0.9791666666666666,0.9740932642487047,576.0,LogisticRegression,1_5,0.9813392857142857,0.9517857142857142
2,0.9515828677839852,0.9393382352941176,0.9454209065679926,544.0,LogisticRegression,1_5,0.9813392857142857,0.9517857142857142
3,0.9501915708812261,0.9271028037383178,0.9385052034058656,535.0,LogisticRegression,1_5,0.9813392857142857,0.9517857142857142
4,0.9534883720930233,0.9745331069609507,0.9638958858102435,589.0,LogisticRegression,1_5,0.9813392857142857,0.9517857142857142
5,0.933572710951526,0.935251798561151,0.9344115004492363,556.0,LogisticRegression,1_5,0.9813392857142857,0.9517857142857142
accuracy,0.9517857142857142,0.9517857142857142,0.9517857142857142,0.9517857142857142,LogisticRegression,1_5,0.9813392857142857,0.9517857142857142
macro avg,0.9515815373316429,0.9510785222442408,0.9512653520964086,2800.0,LogisticRegression,1_5,0.9813392857142857,0.9517857142857142
weighted avg,0.9517393628421758,0.9517857142857142,0.9516980172122816,2800.0,LogisticRegression,1_5,0.9813392857142857,0.9517857142857142
1,0.9930675909878682,0.9947916666666666,0.9939288811795317,576.0,SVM,1_5,0.9953571428571428,0.9867857142857143
2,0.979890310786106,0.9852941176470589,0.9825847846012832,544.0,SVM,1_5,0.9953571428571428,0.9867857142857143
3,0.9867924528301887,0.9775700934579439,0.9821596244131455,535.0,SVM,1_5,0.9953571428571428,0.9867857142857143
4,0.9914965986394558,0.9898132427843803,0.9906542056074766,589.0,SVM,1_5,0.9953571428571428,0.9867857142857143
5,0.982078853046595,0.9856115107913669,0.9838420107719928,556.0,SVM,1_5,0.9953571428571428,0.9867857142857143
accuracy,0.9867857142857143,0.9867857142857143,0.9867857142857143,0.9867857142857143,SVM,1_5,0.9953571428571428,0.9867857142857143
macro avg,0.9866651612580428,0.9866161262694833,0.986633901314686,2800.0,SVM,1_5,0.9953571428571428,0.9867857142857143
weighted avg,0.9867959152261967,0.9867857142857143,0.9867843009055618,2800.0,SVM,1_5,0.9953571428571428,0.9867857142857143
1,0.9982486865148862,0.9895833333333334,0.993897122929381,576.0,MLP,1_5,1.0,0.985
2,0.9762773722627737,0.9834558823529411,0.9798534798534798,544.0,MLP,1_5,1.0,0.985
3,0.9867424242424242,0.9738317757009346,0.980244590780809,535.0,MLP,1_5,1.0,0.985
4,0.9831365935919055,0.9898132427843803,0.9864636209813875,589.0,MLP,1_5,1.0,0.985
5,0.9803571428571428,0.987410071942446,0.9838709677419355,556.0,MLP,1_5,1.0,0.985
